audienceType,name,categorySummary,summary
"Location Audience","24 Hour Fitness","Points of interest > Health > Fitness Clubs > 24 Hour Fitness","People in this audience have recently visited a 24 Hour Fitness location."
"Location Audience","7-Eleven","Points of interest > Retail > Convenience/Drug > 7-Eleven","People in this audience have recently visited a 7-Eleven location."
"Location Audience","A Pea In The Pod","Points of interest > Retail > Home > A Pea In The Pod","People in this audience have recently visited an A Pea In The Pod location."
"Location Audience","A.C. Moore","Points of interest > Retail > Hobby > A.C. Moore","People in this audience have recently visited an A.C. Moore location."
"Location Audience","AAA","Points of interest > Finance > Insurance > AAA","People in this audience have recently visited an AAA location."
"Location Audience","AAMCO","Points of interest > Auto > Service Supplies > AAMCO","People in this audience have recently visited an AAMCO location."
"Crafted Audience","ACC Fans","Consumer > Media > Sports Fans > ACC Fans","Fans of ACC"
"Location Audience","ACE Hardware","Points of interest > Retail > Home Maintenance > ACE Hardware","People in this audience have recently visited an ACE Hardware location."
"Location Audience","AMC Theater","Points of interest > Entertainment > Movies > AMC Theater","People in this audience have recently visited an AMC Theater location."
"Location Audience","AMF Bowling Centers","Points of interest > Entertainment > Bowling > AMF Bowling Centers","People in this audience have recently visited an AMF Bowling Centers location."
"Location Audience","ARCO","Points of interest > Auto > Gas Stations > ARCO","People in this audience have recently visited an ARCO location."
"Location Audience","AT&T","Points of interest > Retail > Telecom > AT&T","People in this audience have recently visited an AT&T location."
"Location Audience","Abercrombie & Fitch","Points of interest > Retail > Apparel > Abercrombie & Fitch","People in this audience have recently visited an Abercrombie & Fitch location."
"Location Audience","Academy Sports + Outdoors","Points of interest > Retail > Sporting > Academy Sports + Outdoors","People in this audience have recently visited an Academy Sports + Outdoors location."
"Content Cluster","Accounting","Content Clusters > Accounting","People in this audience are interested in accounting information, accounting firms, taxes, and tax news."
"Crafted Audience","Accounting & CPA Continuing Education Researchers","Lifestyle > Occupation > Accounting & CPA Continuing Education Researchers","Professionals researching and comparing continuing education programs and resources for accounting."
"Location Audience","Ace Cash Express","Points of interest > Finance > Personal Finance > Ace Cash Express","People in this audience have recently visited an Ace Cash Express location."
"Location Audience","Acme Markets","Points of interest > Retail > Grocery > Acme Markets","People in this audience have recently visited an Acme Markets location."
"Crafted Audience","Action Figure and Collectibles Shoppers","Lifestyle > Activities > Action Figure and Collectibles Shoppers","Shoppers interested in collecting action figures."
"Crafted Audience","Action Movie and TV Enthusiasts","Consumer > Media > Action Movie and TV Enthusiasts","Consumers researching popular action movies and TV shows."
"Content Cluster","Action Sports","Content Clusters > Action Sports","People in this audience are interested in action sports, including surfing, skiing, and scuba diving."
"Content Cluster","Active Lifestyle Enthusiasts","Content Clusters > Active Lifestyle Enthusiasts","People in this audience are interested in content about healthy living and fitness."
"Location Audience","Acura","Points of interest > Auto > Manufacturers > Acura","People in this audience have recently visited an Acura location."
"Crafted Audience","Acura Vehicle Shoppers","Consumer > Auto > Acura Vehicle Shoppers","People researching and comparing Acura vehicles. These consumers are more likely to spend money on a new or used car."
"Content Cluster","Addiction & Recovery Reference","Content Clusters > Addiction & Recovery Reference","People in this audience are interested in alcohol recovery, drug abuse, addiction, and drug policy."
"Location Audience","Adidas","Points of interest > Retail > Sporting > Adidas","People in this audience have recently visited an Adidas location."
"Crafted Audience","Adult Acne Sufferers","Consumer > Healthcare > Adult Acne Sufferers","People researching acne trends and treatment options."
"Location Audience","Advance","Points of interest > Auto > Service Supplies > Advance","People in this audience have recently visited an Advance location."
